observation_date,Unemployment Rate,Retail Sales (% Change),Real GDP Per Capita
1/1/2017,4.7,0.7,54866
2/1/2017,4.6,0,54866
3/1/2017,4.4,-0.3,54866
4/1/2017,4.4,0.4,55057
5/1/2017,4.4,-0.6,55057
6/1/2017,4.3,0.5,55057
7/1/2017,4.3,0,55413
8/1/2017,4.4,0.1,55413
9/1/2017,4.3,2.3,55413
10/1/2017,4.2,0,55877
11/1/2017,4.2,1,55877
12/1/2017,4.1,0.7,55877
1/1/2018,4,-0.5,56195
2/1/2018,4.1,0.7,56195
3/1/2018,4,-0.3,56195
4/1/2018,4,0.4,56512
5/1/2018,3.8,1.1,56512
6/1/2018,4,-0.5,56512
7/1/2018,3.8,0.7,56831
8/1/2018,3.8,-0.1,56831
9/1/2018,3.7,-0.1,56831
10/1/2018,3.8,1.1,56851
11/1/2018,3.8,0.4,56851
12/1/2018,3.9,-2,56851
1/1/2019,4,0.7,57100
2/1/2019,3.8,0.2,57100
3/1/2019,3.8,1.4,57100
4/1/2019,3.6,0.1,57418
5/1/2019,3.6,0.4,57418
6/1/2019,3.6,0,57418
7/1/2019,3.7,1,57845
8/1/2019,3.7,0.5,57845
9/1/2019,3.5,-0.9,57845
10/1/2019,3.6,0.3,58017
11/1/2019,3.6,0.5,58017
12/1/2019,3.6,0.7,58017
1/1/2020,3.5,-0.6,57279
2/1/2020,3.5,0.4,57279
3/1/2020,4.4,-5.6,57279
4/1/2020,14.7,-13.1,52394
5/1/2020,13.2,17.6,52394
6/1/2020,11,6.8,52394
7/1/2020,10.2,1.9,56484
8/1/2020,8.4,0.3,56484
9/1/2020,7.9,2.1,56484
10/1/2020,6.9,-0.4,57005
11/1/2020,6.7,-0.8,57005
12/1/2020,6.7,0.4,57005
1/1/2021,6.4,5,57889
2/1/2021,6.2,-1.9,57889
3/1/2021,6,10.9,57889
4/1/2021,6,-0.4,58864
5/1/2021,5.8,-1,58864
6/1/2021,5.9,0.5,58864
7/1/2021,5.4,-2,59202
8/1/2021,5.2,1,59202
9/1/2021,4.7,1.2,59202
10/1/2021,4.6,1.6,60154
11/1/2021,4.2,0.6,60154
12/1/2021,3.9,-1.6,60154
1/1/2022,4,3.4,59877
2/1/2022,3.8,1,59877
3/1/2022,3.6,1,59877
4/1/2022,3.6,0.5,59756
5/1/2022,3.6,0.3,59756
6/1/2022,3.6,1.1,59756
7/1/2022,3.5,-0.4,60082
8/1/2022,3.7,0.2,60082
9/1/2022,3.5,-0.1,60082
10/1/2022,3.7,,
